Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.90     0.00   182596     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >, true>::_S_base(__gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >)
  0.00      1.90     0.00   182596     0.00     0.00  std::move_iterator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*>::move_iterator(std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*)
  0.00      1.90     0.00   182596     0.00     0.00  std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >* std::__addressof<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >(std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >&)
  0.00      1.90     0.00   182596     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > > >(__gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >)
  0.00      1.90     0.00   182596     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > > >(__gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >)
  0.00      1.90     0.00   182596     0.00     0.00  std::move_iterator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*> std::__make_move_if_noexcept_iterator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*, std::move_iterator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*> >(std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*)
  0.00      1.90     0.00   162093     0.00     0.00  InverseFlowPair* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<InverseFlowPair*>, InverseFlowPair*>(std::move_iterator<InverseFlowPair*>, std::move_iterator<InverseFlowPair*>, InverseFlowPair*)
  0.00      1.90     0.00   162093     0.00     0.00  InverseFlowPair* std::__copy_move_a<true, InverseFlowPair*, InverseFlowPair*>(InverseFlowPair*, InverseFlowPair*, InverseFlowPair*)
  0.00      1.90     0.00   162093     0.00     0.00  InverseFlowPair* std::__copy_move_a2<true, InverseFlowPair*, InverseFlowPair*>(InverseFlowPair*, InverseFlowPair*, InverseFlowPair*)
  0.00      1.90     0.00   162093     0.00     0.00  InverseFlowPair* std::uninitialized_copy<std::move_iterator<InverseFlowPair*>, InverseFlowPair*>(std::move_iterator<InverseFlowPair*>, std::move_iterator<InverseFlowPair*>, InverseFlowPair*)
  0.00      1.90     0.00   162093     0.00     0.00  InverseFlowPair* std::__uninitialized_copy_a<std::move_iterator<InverseFlowPair*>, InverseFlowPair*, InverseFlowPair>(std::move_iterator<InverseFlowPair*>, std::move_iterator<InverseFlowPair*>, InverseFlowPair*, std::allocator<InverseFlowPair>&)
  0.00      1.90     0.00   162093     0.00     0.00  InverseFlowPair* std::__uninitialized_move_if_noexcept_a<InverseFlowPair*, InverseFlowPair*, std::allocator<InverseFlowPair> >(InverseFlowPair*, InverseFlowPair*, InverseFlowPair*, std::allocator<InverseFlowPair>&)
